fullArabicName,fullEnglishName,phoneNumber,email,isEmailConfirmed,investmentfields,investmentStage,idNumber,investmentLicenseNumber,profilePhoto,role,points,organization,jobTitle,availableBudget,currency,notification,description,recommendation_id,password
مازن نبيل المصري,Lisa Bowers,96228915385,rebeccale@example.net,FALSE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'الكفاءة الطاقية وحلول الاستدامة']",Seed (مرحلة التأسيس والتمويل الأولي),FB2976294,INV5525233171,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,82,Mitchell-Bailey,CEO,676531,(SAR) ريال سعودي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",113,$2a$12$uj2GeFxJeSfGBNkj7flmPetAcTeslVfNx53g19F1qAjoDaY5lThDq
هبة مجدي البدري,Marc Perez,96283606353,wskinner@example.net,FALSE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Pre-Seed (النماذج الأولية),QP392516340,INV9294250350,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,84,"Campbell, Lopez and Day",CEO,847368,(SAR) ريال سعودي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",114,$2a$12$U8Emv6gd/4s.yeP9lQRreuNuzzAIKDZSiSr0D9bPqY08j1SmSdNzi
شهد فتحي حسان,Claudia Summers,2035002892,tiffanybowman@example.net,FALSE,"['تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Late Stage / IPO (ما قبل الطرح العام),9.73E+13,INV9023302536,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,218,Robbins LLC,CEO,379348,(SAR) ريال سعودي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",115,$2a$12$EkCfYU18XaQBIOsOCbeqF..4Z6CdBIXW6fQqo5iXynJ5c1GTWhanS
نهى رمضان الكومي,Taylor Phillips,96191713729,mrivers@example.net,FALSE,"['الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Series B (التوسع والنمو السريع),T7526438,INV0795606083,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,82,Thomas and Sons,Director,885031,(EUR) يورو,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",116,$2a$12$Zxxy3hFVOTzOjO2FNt4UO.i.VSS4hvifHSOGyP07GgO9QiQbBqo5S
طارق جمعة الزهراني,Lynn Gonzales,97159998154,sberry@example.net,FALSE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Seed (مرحلة التأسيس والتمويل الأولي),5.52E+13,INV3907150137,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,258,"Mcclure, Mitchell and Hicks",Managing Partner,824130,(SAR) ريال سعودي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",117,$2a$12$kPjevZtNMFIrTgjxAEuROO3ALIrnn.cOfJpfUx5PUB6Arw0o2Nray
سارة توفيق الديب,Teresa James,96148509818,serranotimothy@example.org,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'الذكاء الاصطناعي والتعلم الآلي']",Series A (التوسع الأولي),4.19E+12,INV3730316131,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,194,"May, Rodriguez and Branch",CEO,858093,(EUR) يورو,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",118,$2a$12$1cgwo3tNykzI6Wk5r66Rg.2sXgbLI8WEB5qOArakQFZ7.CWyGzIFe
يوسف توفيق الطويل,Mark Allen,21231013594,cunninghamdiana@example.org,FALSE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'الكفاءة الطاقية وحلول الاستدامة']",Pre-Seed (النماذج الأولية),1.57E+12,INV8014394617,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,256,Mitchell-Bailey,Founder,249844,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",119,$2a$12$2p1I3hvM04fIJbUGaDsAPugqnbBTy293CFsbdJzbFFzCc5cv4XYwi
رنا عادل الطويل,Nancy Guerra,21630351189,hollybrewer@example.net,TRUE,"['الذكاء الاصطناعي والتعلم الآلي', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Pre-Seed (النماذج الأولية),XQ1792549,INV0723621858,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,104,Becker-Carney,CEO,289343,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",120,$2a$12$e.zInDpByXJMMhu4/ULHPueqoAZiA4.abAToLxImjJ5.7QXC3xLgK
يوسف مجدي النجار,James Perez,97456613492,manningstephen@example.com,FALSE,"['الكفاءة الطاقية وحلول الاستدامة', 'الذكاء الاصطناعي والتعلم الآلي']",Late Stage / IPO (ما قبل الطرح العام),7.64E+13,INV0844716862,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,264,Cruz-Whitney,Founder,441760,(EGP) جنيه مصري,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",121,$2a$12$9I6cusxfWZxaBjbKC/ZMhuBT3Z2XTCeapSXW1SVVh7zQrFU6eAe.O
إبراهيم وائل الجبالي,Stephanie Stewart,2049027708,louisherrera@example.com,FALSE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Pre-Seed (النماذج الأولية),8.99E+13,INV0582265268,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,116,"Ponce, Taylor and West",CEO,853731,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",122,$2a$12$ivw9wz55USGe7SIg7qluUevq2uFMnxCPfjGi3ikC/n19JXEZuvmnG
أمينة توفيق منصور,Dr. John Rojas,21680416163,corr@example.net,TRUE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'السياحة والسفر والفنادق']",Late Stage / IPO (ما قبل الطرح العام),9.87E+11,INV2343208663,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,201,Perry-Hunt,Director,489801,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",123,$2a$12$cKGQI0P8rAOq3eireqLUc.lohWjoNxTyUUNbf5uVHoRNQRgTICC2y
مازن سليم النجار,Curtis Garcia,21240925911,ricky81@example.com,FALSE,"['السياحة والسفر والفنادق', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Series A (التوسع الأولي),6.69E+13,INV4309857092,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,87,"Rowe, Bailey and Shaffer",Founder,585846,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",124,$2a$12$d7PxLACJnZTBtvGp4wn16ueMIRO1SMZjwIC/wc18CxOVhwOaJRr8i
سعيد خالد الطويل,Hector Perez,97114246850,jdavis@example.org,TRUE,"['الذكاء الاصطناعي والتعلم الآلي', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Late Stage / IPO (ما قبل الطرح العام),C928678,INV4472331092,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,151,Johnson Inc,Founder,573840,(SAR) ريال سعودي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",125,$2a$12$.qRSzV7g194BZjMyEoaS8uYrLvPPVteFrFpXV9ZDI0ihPyzW2TMsG
فاطمة يحيى الشامي,Christy Pace,96195346240,jenkinsjohn@example.net,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Series B (التوسع والنمو السريع),GL124732101,INV2563892384,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,90,Cisneros Group,Founder,451104,(SAR) ريال سعودي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",126,$2a$12$PsMffGbnkLSIuj67eYkLiORDKjpZVRovTWMkZJ2vHvglo8sI3bKaW
نهى مروان الجبالي,Anthony Ruiz,2040250217,christian74@example.org,FALSE,"['الرعاية الصحية الرقمية والتطبيب عن بُعد ', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Series A (التوسع الأولي),200274,INV2437070075,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,230,Jones Inc,CEO,731398,(AED) درهم إماراتي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",127,$2a$12$knYFrfmnktDh6rIGjJvqku2TZeZtmIxOOewj18vFPkISVZ5.woPX.
علاء رمضان السيد,Mr. Ryan Mclean,97450460329,frank42@example.org,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Late Stage / IPO (ما قبل الطرح العام),6.22E+13,INV5969857367,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,253,Johnson Group,Director,984790,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",128,$2a$12$G3dEowA8xpui4xqBbcFfwepdYZkWH12VHcYZLt1aflNTa98yDS/Oy
بلال خالد الفيومي,Kevin Maxwell,2071670260,jacksonheather@example.net,TRUE,"['التطوير العقاري السكني والتجاري', 'السياحة والسفر والفنادق']",Series B (التوسع والنمو السريع),3.64E+13,INV6146823231,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,173,Kramer-Cook,Director,317136,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",129,$2a$12$7Of/2kfiYe./vQdlikypR.GCOHB4MGgkX4unrt4z7eOx0Jg1bMFr2
محمد حسن الزهراني,Alexander Arroyo,96125547886,brooke52@example.org,TRUE,"['الذكاء الاصطناعي والتعلم الآلي', 'السياحة والسفر والفنادق']",Seed (مرحلة التأسيس والتمويل الأولي),3.13E+13,INV2768502692,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,182,"Aguilar, Mckinney and Cox",Managing Partner,287511,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",130,$2a$12$5eFcrLSQsLn9NdF91zhXDuPUB/IM7Nf6c3jcUiVBfRaX9EX7WEt8a
فاطمة سليم حسان,Tracey Reynolds,21682935414,johnmorris@example.org,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Seed (مرحلة التأسيس والتمويل الأولي),8.97E+13,INV8005235797,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,183,Bennett-Sullivan,Founder,526218,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",131,$2a$12$jPoEyzRoxtBvl4rwIHZbvuNrcozHqZMVAlAMfFtwAUIcmuniMcuGS
بلال عبد الله بركات,Amanda Allen,2027791195,travisroberts@example.net,FALSE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Series A (التوسع الأولي),9.80E+13,INV4112147085,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,198,"Turner, Miller and Winters",CEO,824860,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",132,$2a$12$yFatvOL5T1nGHIDsiNrjZe1paR0Ho4RloKBR3JoMQGWr6.n823z12
شهد خالد السيد,Jennifer Fernandez,97121356533,bgilmore@example.org,FALSE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'السياحة والسفر والفنادق']",Late Stage / IPO (ما قبل الطرح العام),4.86E+13,INV2786265523,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,160,Roberts-Pierce,Managing Partner,472303,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",133,$2a$12$bJTauyelZNTMG8t8dR292OluDOog8pXPsIeU6nOPL2/iQ1k//5ili
سلمى فتحي العزبي,Laurie Fuller,96219731637,rodriguezzachary@example.net,TRUE,"['الذكاء الاصطناعي والتعلم الآلي', 'الكفاءة الطاقية وحلول الاستدامة']",Pre-Seed (النماذج الأولية),9.45E+13,INV4790767406,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,247,"Doyle, Jones and Peterson",CEO,840153,(EGP) جنيه مصري,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",134,$2a$12$7OagODiGLZqD7DIUfApeZuOkVH8qYOjRFyM0KxnYCDL/s33S0Zj6y
